PhiL	ThetaL	PhiP	ThetaP	PhiPi	ThetaPi
0.000   0.679	1.583   0.692   1.452   0.559
0.000   0.213	1.581   0.226   1.467   0.087
0.000   0.172	1.558   0.173   1.612   0.171
0.000   5.405	4.694   2.269   1.499   -0.898
0.000   5.801	4.730   2.650   1.714   -0.402
0.000   5.382	4.716   2.241   1.582   -0.902
0.000   0.301	1.568   0.303   1.579   0.293
0.000   5.209	4.715   2.065   1.579   -1.070
0.000   0.420	1.586   0.409   1.518   0.460
0.000   5.213	4.701   2.079   1.532   -1.098
0.000   1.110	1.583   1.108   1.532   1.115
0.000   5.848	4.704   2.689   1.495   -0.281
0.000   6.006	4.717   2.844   1.604   -0.130
0.000   0.754	1.579   0.733   1.534   0.846
0.000   6.124	4.733   2.987   1.653   -0.179
0.000   5.771	4.720   2.619   1.594   -0.480
0.000   5.492	4.705   2.338   1.548   -0.751
0.000   5.647	4.704   2.518   1.542   -0.679
0.000   5.177	4.690   2.029   1.436   -1.071
0.000   5.199	4.692   2.047   1.459   -1.025
0.000   0.646	1.569   0.653   1.576   0.626
0.000   0.294	1.592   0.282   1.472   0.350
0.000   5.665	4.721   2.501   1.609   -0.515
0.000   5.888	4.704   2.754   1.545   -0.420
0.000   6.142	4.690   3.000   1.468   -0.139
0.000   0.234	1.572   0.258   1.563   0.104
0.000   0.288	1.570   0.310   1.577   0.190
0.000   5.180	4.724   2.018   1.626   -1.009
0.000   5.711	4.707   2.560   1.555   -0.544
0.000   5.723	4.696   2.598   1.479   -0.652
0.000   1.135	1.562   1.158   1.612   1.032
0.000   5.718	4.702   2.560   1.482   -0.419
0.000   5.946	4.729   2.790   1.686   -0.238
0.000   6.110	4.706   2.978   1.491   -0.282
0.000   0.348	1.564   0.327   1.612   0.482
0.000   6.107	4.712   2.947   1.571   -0.016
0.000   0.216	1.568   0.223   1.608   0.120
0.000   0.912	1.566   0.933   1.605   0.756
0.000   6.261	4.697   3.104   1.513   0.035
0.000   0.192	1.592   0.182   1.456   0.246
0.000   6.203	4.689   3.064   1.433   -0.094
0.000   0.904	1.585   0.908   1.523   0.890
0.000   0.209	1.574   0.231   1.550   0.057
0.000   0.317	1.548   0.319   1.710   0.308
0.000   0.244	1.576   0.220   1.544   0.356
0.000   5.133	4.691   1.992   1.487   -1.155
0.000   0.214	1.593   0.217   1.485   0.206
0.000   5.580	4.690   2.438   1.441   -0.695
0.000   0.495	1.585   0.481   1.522   0.544
0.000   5.771	4.730   2.634   1.631   -0.526
0.000   5.651	4.691   2.509   1.408   -0.624
0.000   6.226	4.726   3.066   1.656   0.056
0.000   6.157	4.731   3.022   1.730   -0.184
0.000   6.238	4.712   3.121   1.571   -0.157
0.000   6.109	4.691   2.958   1.476   -0.134
0.000   0.488	1.555   0.485   1.623   0.501
0.000   0.387	1.577   0.363   1.542   0.494
0.000   0.321	1.592   0.330   1.435   0.264
0.000   5.996	4.719   2.864   1.591   -0.320
0.000   0.957	1.549   0.957   1.651   0.960
0.000   5.947	4.717   2.794   1.623   -0.215
0.000   5.939	4.731   2.810   1.656   -0.402
0.000   5.829	4.709   2.682   1.561   -0.438
0.000   5.245	4.715   2.095   1.578   -1.011
0.000   0.973	1.573   0.990   1.563   0.911
0.000   0.608	1.572   0.631   1.565   0.523
0.000   0.430	1.568   0.419   1.579   0.466
0.000   6.018	4.704   2.874   1.457   -0.233
0.000   0.602	1.571   0.581   1.570   0.750
0.000   0.568	1.590   0.554   1.471   0.638
0.000   6.134	4.729   2.979   1.642   -0.091
0.000   0.547	1.593   0.551   1.481   0.530
0.000   0.759	1.560   0.779   1.618   0.670
0.000   5.608	4.737   2.468   1.698   -0.687
0.000   0.426	1.554   0.439   1.693   0.332
