Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.688	1.737	0.000	4.168	1.635	0.017	0.520	0.102	-0.017
4.275	2.591	-0.000	3.194	1.932	0.016	1.081	0.659	-0.016
4.730	-1.623	0.000	3.878	-1.240	0.011	0.853	-0.384	-0.011
4.966	-0.589	0.000	4.465	-0.465	0.047	0.501	-0.124	-0.047
2.998	4.001	0.000	2.374	3.068	-0.032	0.624	0.933	0.032
2.132	4.522	-0.000	1.592	3.386	0.010	0.540	1.136	-0.010
2.655	-4.237	0.000	2.012	-3.202	0.021	0.643	-1.036	-0.021
4.691	-1.733	0.000	4.076	-1.407	0.018	0.614	-0.326	-0.018
4.994	-0.244	0.000	4.049	-0.131	0.063	0.946	-0.113	-0.063
4.400	2.376	-0.000	3.710	1.968	0.096	0.689	0.408	-0.096
4.557	-2.055	0.000	3.794	-1.821	-0.031	0.763	-0.234	0.031
4.783	1.460	-0.000	3.774	1.123	0.065	1.008	0.337	-0.065
4.751	-1.555	-0.000	3.675	-1.159	-0.058	1.076	-0.395	0.058
4.779	1.468	-0.000	3.580	1.088	-0.005	1.199	0.380	0.005
4.256	2.625	0.000	3.663	2.166	-0.059	0.593	0.459	0.059
2.602	-4.269	-0.000	1.934	-3.204	0.003	0.668	-1.065	-0.003
4.609	-1.937	-0.000	3.979	-1.634	0.098	0.629	-0.303	-0.098
4.872	-1.126	-0.000	4.302	-1.032	-0.079	0.570	-0.095	0.079
5.000	-0.029	-0.000	4.488	0.034	0.060	0.512	-0.063	-0.060
3.644	-3.423	-0.000	3.059	-2.743	0.031	0.585	-0.680	-0.031
4.183	2.740	-0.000	3.490	2.389	0.039	0.694	0.351	-0.039
2.295	-4.442	0.000	1.738	-3.332	0.016	0.557	-1.110	-0.016
4.938	0.784	0.000	4.481	0.779	0.029	0.457	0.005	-0.029
4.967	-0.574	-0.000	4.545	-0.465	0.030	0.422	-0.109	-0.030
4.955	-0.677	0.000	4.231	-0.640	0.074	0.724	-0.037	-0.074
2.895	-4.077	0.000	2.426	-3.498	-0.082	0.469	-0.580	0.082
2.318	-4.431	-0.000	1.967	-3.723	-0.093	0.351	-0.708	0.093
4.937	-0.791	-0.000	3.832	-0.550	0.017	1.105	-0.241	-0.017
4.538	-2.099	-0.000	3.545	-1.693	0.062	0.993	-0.406	-0.062
3.008	-3.994	0.000	2.420	-3.360	-0.038	0.588	-0.634	0.038
4.964	0.600	0.000	4.259	0.585	-0.065	0.705	0.015	0.065
2.392	4.390	0.000	1.837	3.310	0.013	0.556	1.081	-0.013
4.249	2.634	0.000	3.303	2.052	0.075	0.947	0.582	-0.075
4.160	2.773	0.000	3.679	2.375	0.072	0.481	0.398	-0.072
2.549	-4.301	0.000	1.913	-3.350	0.010	0.635	-0.952	-0.010
4.707	1.689	-0.000	3.765	1.374	-0.078	0.942	0.315	0.078
2.997	4.002	-0.000	2.403	3.094	-0.036	0.594	0.909	0.036
4.709	-1.682	0.000	3.945	-1.364	-0.087	0.764	-0.318	0.087
3.073	-3.945	-0.000	2.708	-3.494	-0.086	0.365	-0.451	0.086
4.250	2.634	-0.000	3.712	2.201	0.052	0.538	0.433	-0.052
4.943	0.746	0.000	4.442	0.640	0.081	0.502	0.106	-0.081
4.645	1.850	-0.000	3.645	1.538	-0.007	1.001	0.312	0.007
4.067	2.910	0.000	3.626	2.669	-0.049	0.441	0.241	0.049
4.949	0.716	0.000	4.412	0.555	-0.021	0.537	0.161	0.021
4.999	0.002	-0.000	3.995	0.081	-0.050	1.004	-0.079	0.050
5.000	-0.090	0.000	4.442	-0.011	0.054	0.557	-0.078	-0.054
4.862	-1.162	0.000	3.628	-0.884	-0.006	1.234	-0.279	0.006
3.297	3.758	0.000	2.531	2.984	0.047	0.766	0.774	-0.047
4.608	1.942	-0.000	3.705	1.574	0.087	0.903	0.368	-0.087
4.980	0.442	0.000	4.385	0.485	-0.009	0.595	-0.042	0.009
3.889	3.142	-0.000	3.493	2.894	-0.056	0.396	0.248	0.056
4.887	1.057	-0.000	4.433	1.017	-0.048	0.454	0.039	0.048
4.925	0.858	0.000	3.740	0.652	0.049	1.186	0.205	-0.049
3.194	-3.848	-0.000	2.554	-3.044	-0.074	0.641	-0.804	0.074
4.430	-2.317	-0.000	3.927	-2.103	0.079	0.503	-0.214	-0.079
3.104	-3.920	-0.000	2.346	-2.962	0.014	0.758	-0.958	-0.014
4.775	1.482	0.000	3.599	1.127	0.010	1.176	0.355	-0.010
2.378	-4.397	0.000	1.769	-3.285	0.011	0.609	-1.112	-0.011
4.564	2.040	0.000	3.558	1.542	-0.060	1.006	0.498	0.060
2.397	-4.387	-0.000	1.861	-3.339	-0.045	0.536	-1.048	0.045
2.225	4.478	-0.000	1.702	3.413	-0.046	0.522	1.065	0.046
4.534	-2.107	-0.000	4.038	-1.963	-0.039	0.496	-0.143	0.039
4.810	-1.366	-0.000	4.182	-1.284	0.021	0.628	-0.082	-0.021
3.644	3.424	-0.000	3.010	2.708	-0.035	0.634	0.716	0.035
4.937	-0.793	-0.000	3.970	-0.617	0.081	0.967	-0.175	-0.081
4.357	-2.451	-0.000	3.295	-1.898	0.028	1.062	-0.553	-0.028
3.514	-3.556	-0.000	2.663	-2.761	-0.027	0.851	-0.795	0.027
4.020	-2.972	-0.000	3.116	-2.242	-0.033	0.904	-0.730	0.033
2.239	-4.471	-0.000	1.894	-3.839	-0.098	0.345	-0.631	0.098
2.341	-4.419	-0.000	1.942	-3.763	-0.086	0.399	-0.656	0.086
3.992	3.010	0.000	2.997	2.291	0.007	0.996	0.719	-0.007
4.785	1.450	0.000	3.952	1.146	-0.088	0.832	0.304	0.088
4.075	-2.898	0.000	3.302	-2.460	0.034	0.773	-0.438	-0.034
4.614	-1.926	-0.000	3.536	-1.445	-0.031	1.078	-0.482	0.031
4.951	-0.702	0.000	4.056	-0.578	-0.093	0.895	-0.125	0.093
4.864	1.158	-0.000	4.083	1.076	-0.006	0.781	0.082	0.006
4.794	1.422	0.000	3.898	1.250	0.005	0.896	0.173	-0.005
2.253	-4.464	-0.000	1.790	-3.729	0.048	0.463	-0.735	-0.048
4.203	-2.709	0.000	3.174	-2.087	-0.019	1.029	-0.622	0.019
4.236	-2.657	-0.000	3.623	-2.189	-0.071	0.613	-0.468	0.071
2.111	4.532	0.000	1.641	3.745	0.037	0.470	0.787	-0.037
4.222	-2.677	0.000	3.748	-2.466	-0.046	0.473	-0.211	0.046
4.718	-1.656	0.000	4.100	-1.506	0.074	0.618	-0.150	-0.074
4.926	-0.860	-0.000	4.564	-0.755	-0.030	0.361	-0.105	0.030
4.700	1.707	0.000	4.082	1.384	0.028	0.618	0.323	-0.028
4.922	-0.879	-0.000	4.427	-0.871	0.000	0.495	-0.008	-0.000
4.885	1.070	0.000	4.530	1.027	0.013	0.356	0.043	-0.013
3.061	3.953	0.000	2.616	3.532	0.021	0.446	0.421	-0.021
4.999	-0.112	-0.000	3.960	-0.148	-0.060	1.038	0.036	0.060
4.909	0.955	0.000	4.170	0.769	-0.088	0.738	0.186	0.088
4.984	-0.399	-0.000	4.265	-0.331	-0.100	0.719	-0.068	0.100
3.092	3.930	0.000	2.376	3.047	-0.055	0.715	0.883	0.055
4.891	1.037	-0.000	4.246	1.000	-0.014	0.645	0.037	0.014
4.751	1.560	0.000	4.086	1.348	0.098	0.665	0.211	-0.098
4.852	1.207	0.000	4.043	0.906	-0.023	0.810	0.301	0.023
2.040	-4.565	0.000	1.631	-3.637	-0.086	0.409	-0.928	0.086
4.885	1.063	-0.000	3.871	0.852	-0.089	1.014	0.212	0.089
3.816	-3.231	0.000	3.249	-2.759	-0.096	0.568	-0.473	0.096
4.400	2.374	-0.000	3.448	1.799	-0.055	0.952	0.575	0.055
4.359	-2.449	0.000	3.398	-1.892	0.067	0.961	-0.557	-0.067
4.034	-2.953	0.000	3.565	-2.616	-0.095	0.468	-0.337	0.095
4.992	-0.287	0.000	4.310	-0.325	0.058	0.682	0.038	-0.058
4.959	-0.631	0.000	4.442	-0.534	0.084	0.518	-0.096	-0.084
4.995	-0.225	-0.000	4.111	-0.085	0.000	0.884	-0.140	-0.000
4.924	-0.867	-0.000	4.014	-0.744	-0.088	0.910	-0.123	0.088
4.415	2.346	0.000	3.402	1.791	0.061	1.013	0.555	-0.061
4.630	1.887	0.000	3.821	1.451	-0.026	0.809	0.436	0.026
4.744	1.580	0.000	4.093	1.404	-0.092	0.651	0.176	0.092
4.795	-1.417	-0.000	3.670	-1.044	0.024	1.125	-0.373	-0.024
2.877	4.089	-0.000	2.275	3.228	0.085	0.602	0.861	-0.085
